Date,Team1,Team1_Position,Team1_Points,Team1_Win_Percentage,Team1_Rating,Team1_Kills_Per_Round,Team1_Deaths_Per_Round,Team1_Headshots,Team1_Rounds_Contributed,Team2,Team2_Position,Team2_Points,Team2_Win_Percentage,Team2_Rating,Team2_Kills_Per_Round,Team2_Deaths_Per_Round,Team2_Headshots,Team2_Rounds_Contributed,Score
16/02/2024,FaZe,1,975,72.7,1.08,0.68,0.65,52.64,73.0,Eternal_Fire,16,189,65.0,1.09,0.68,0.64,50.0,72.58,1
15/02/2024,FaZe,1,975,72.7,1.08,0.68,0.65,52.64,73.0,G2,5,445,60.0,1.06,0.66,0.65,50.42,72.06,0
14/02/2024,FaZe,1,975,72.7,1.08,0.68,0.65,52.64,73.0,Falcons,7,399,46.2,1.03,0.66,0.67,50.9,70.88,1
14/02/2024,FaZe,1,975,72.7,1.08,0.68,0.65,52.64,73.0,9_Pandas,26,55,53.8,1.06,0.66,0.65,50.38,72.44,1
11/02/2024,FaZe,1,975,72.7,1.08,0.68,0.65,52.64,73.0,Spirit,3,634,71.4,1.19,0.72,0.6,46.4,76.28,0
10/02/2024,FaZe,1,975,72.7,1.08,0.68,0.65,52.64,73.0,MOUZ,4,506,56.2,1.07,0.67,0.65,49.1,71.96,1
09/02/2024,FaZe,1,975,72.7,1.08,0.68,0.65,52.64,73.0,G2,5,445,60.0,1.06,0.66,0.65,50.42,72.06,1
06/02/2024,FaZe,1,975,72.7,1.08,0.68,0.65,52.64,73.0,Spirit,3,634,71.4,1.19,0.72,0.6,46.4,76.28,0
04/02/2024,FaZe,1,975,72.7,1.08,0.68,0.65,52.64,73.0,Eternal_Fire,16,189,65.0,1.09,0.68,0.64,50.0,72.58,1
03/02/2024,FaZe,1,975,72.7,1.08,0.68,0.65,52.64,73.0,Rebels,25,57,30.8,0.98,0.64,0.7,49.38,68.6,1
27/01/2024,FaZe,1,975,72.7,1.08,0.68,0.65,52.64,73.0,Liquid,24,72,77.8,1.16,0.71,0.61,49.72,76.5,1
26/01/2024,FaZe,1,975,72.7,1.08,0.68,0.65,52.64,73.0,GamerLegion,17,176,31.6,0.96,0.61,0.68,49.28,68.8,1
25/01/2024,FaZe,1,975,72.7,1.08,0.68,0.65,52.64,73.0,Spirit,3,634,71.4,1.19,0.72,0.6,46.4,76.28,1
24/01/2024,FaZe,1,975,72.7,1.08,0.68,0.65,52.64,73.0,GamerLegion,17,176,31.6,0.96,0.61,0.68,49.28,68.8,0
17/12/2023,FaZe,1,975,72.7,1.08,0.68,0.65,52.64,73.0,Vitality,2,759,80.0,1.14,0.69,0.61,51.42,75.28,0
16/12/2023,FaZe,1,975,72.7,1.08,0.68,0.65,52.64,73.0,MOUZ,4,506,56.2,1.07,0.67,0.65,49.1,71.96,1
19/02/2024,Vitality,2,759,80.0,1.14,0.69,0.61,51.42,75.28,GamerLegion,17,176,31.6,0.96,0.61,0.68,49.28,68.8,1
05/02/2024,Vitality,2,759,80.0,1.14,0.69,0.61,51.42,75.28,Heroic,15,190,56.5,1.1,0.69,0.65,51.2,73.28,0
03/02/2024,Vitality,2,759,80.0,1.14,0.69,0.61,51.42,75.28,ENCE,13,220,46.2,1.04,0.66,0.67,48.64,71.58,0
27/01/2024,Vitality,2,759,80.0,1.14,0.69,0.61,51.42,75.28,Astralis,18,156,50.0,1.07,0.66,0.64,48.9,72.12,1
26/01/2024,Vitality,2,759,80.0,1.14,0.69,0.61,51.42,75.28,Falcons,7,399,46.2,1.03,0.66,0.67,50.9,70.88,1
23/01/2024,Vitality,2,759,80.0,1.14,0.69,0.61,51.42,75.28,Astralis,18,156,50.0,1.07,0.66,0.64,48.9,72.12,0
17/12/2023,Vitality,2,759,80.0,1.14,0.69,0.61,51.42,75.28,FaZe,1,975,72.7,1.08,0.68,0.65,52.64,73.0,1
16/12/2023,Vitality,2,759,80.0,1.14,0.69,0.61,51.42,75.28,Natus_Vincere,6,431,66.7,1.09,0.67,0.63,48.58,73.52,1
14/12/2023,Vitality,2,759,80.0,1.14,0.69,0.61,51.42,75.28,Cloud9,11,263,47.6,1.07,0.67,0.67,46.68,73.76,1
13/12/2023,Vitality,2,759,80.0,1.14,0.69,0.61,51.42,75.28,Natus_Vincere,6,431,66.7,1.09,0.67,0.63,48.58,73.52,1
26/11/2023,Vitality,2,759,80.0,1.14,0.69,0.61,51.42,75.28,FaZe,1,975,72.7,1.08,0.68,0.65,52.64,73.0,1
25/11/2023,Vitality,2,759,80.0,1.14,0.69,0.61,51.42,75.28,Cloud9,11,263,47.6,1.07,0.67,0.67,46.68,73.76,1
23/11/2023,Vitality,2,759,80.0,1.14,0.69,0.61,51.42,75.28,Complexity,9,267,41.2,1.07,0.67,0.65,49.86,72.82,1
22/11/2023,Vitality,2,759,80.0,1.14,0.69,0.61,51.42,75.28,Heroic,15,190,56.5,1.1,0.69,0.65,51.2,73.28,1
16/10/2023,Vitality,2,759,80.0,1.14,0.69,0.61,51.42,75.28,FaZe,1,975,72.7,1.08,0.68,0.65,52.64,73.0,0
11/02/2024,Spirit,3,634,71.4,1.19,0.72,0.6,46.4,76.28,FaZe,1,975,72.7,1.08,0.68,0.65,52.64,73.0,1
10/02/2024,Spirit,3,634,71.4,1.19,0.72,0.6,46.4,76.28,Falcons,7,399,46.2,1.03,0.66,0.67,50.9,70.88,1
06/02/2024,Spirit,3,634,71.4,1.19,0.72,0.6,46.4,76.28,FaZe,1,975,72.7,1.08,0.68,0.65,52.64,73.0,1
04/02/2024,Spirit,3,634,71.4,1.19,0.72,0.6,46.4,76.28,Complexity,9,267,41.2,1.07,0.67,0.65,49.86,72.82,1
03/02/2024,Spirit,3,634,71.4,1.19,0.72,0.6,46.4,76.28,Natus_Vincere,6,431,66.7,1.09,0.67,0.63,48.58,73.52,1
01/02/2024,Spirit,3,634,71.4,1.19,0.72,0.6,46.4,76.28,TheMongolz,23,98,73.9,1.09,0.69,0.66,53.5,71.32,1
31/01/2024,Spirit,3,634,71.4,1.19,0.72,0.6,46.4,76.28,Apeks,12,224,59.1,1.03,0.65,0.66,52.46,70.04,1
25/01/2024,Spirit,3,634,71.4,1.19,0.72,0.6,46.4,76.28,FaZe,1,975,72.7,1.08,0.68,0.65,52.64,73.0,0
24/01/2024,Spirit,3,634,71.4,1.19,0.72,0.6,46.4,76.28,Liquid,24,72,77.8,1.16,0.71,0.61,49.72,76.5,0
20/01/2024,Spirit,3,634,71.4,1.19,0.72,0.6,46.4,76.28,MOUZ,4,506,56.2,1.07,0.67,0.65,49.1,71.96,1
19/01/2024,Spirit,3,634,71.4,1.19,0.72,0.6,46.4,76.28,Preasy,28,41,70.0,1.07,0.68,0.67,53.96,72.3,1
10/12/2023,Spirit,3,634,71.4,1.19,0.72,0.6,46.4,76.28,Virtus.pro,8,352,76.0,1.13,0.67,0.6,48.46,75.1,1
09/12/2023,Spirit,3,634,71.4,1.19,0.72,0.6,46.4,76.28,MIBR,20,109,65.0,1.07,0.66,0.64,50.02,72.48,1
08/12/2023,Spirit,3,634,71.4,1.19,0.72,0.6,46.4,76.28,FURIA,14,190,42.9,1.01,0.64,0.67,49.46,70.22,1
10/02/2024,MOUZ,4,506,56.2,1.07,0.67,0.65,49.1,71.96,FaZe,1,975,72.7,1.08,0.68,0.65,52.64,73.0,0
06/02/2024,MOUZ,4,506,56.2,1.07,0.67,0.65,49.1,71.96,ENCE,13,220,46.2,1.04,0.66,0.67,48.64,71.58,1
05/02/2024,MOUZ,4,506,56.2,1.07,0.67,0.65,49.1,71.96,GamerLegion,17,176,31.6,0.96,0.61,0.68,49.28,68.8,1
04/02/2024,MOUZ,4,506,56.2,1.07,0.67,0.65,49.1,71.96,Cloud9,11,263,47.6,1.07,0.67,0.67,46.68,73.76,1
20/01/2024,MOUZ,4,506,56.2,1.07,0.67,0.65,49.1,71.96,Preasy,28,41,70.0,1.07,0.68,0.67,53.96,72.3,1
20/01/2024,MOUZ,4,506,56.2,1.07,0.67,0.65,49.1,71.96,Spirit,3,634,71.4,1.19,0.72,0.6,46.4,76.28,0
19/01/2024,MOUZ,4,506,56.2,1.07,0.67,0.65,49.1,71.96,Eternal_Fire,16,189,65.0,1.09,0.68,0.64,50.0,72.58,0
18/01/2024,MOUZ,4,506,56.2,1.07,0.67,0.65,49.1,71.96,Heroic,15,190,56.5,1.1,0.69,0.65,51.2,73.28,1
16/12/2023,MOUZ,4,506,56.2,1.07,0.67,0.65,49.1,71.96,FaZe,1,975,72.7,1.08,0.68,0.65,52.64,73.0,0
15/12/2023,MOUZ,4,506,56.2,1.07,0.67,0.65,49.1,71.96,Cloud9,11,263,47.6,1.07,0.67,0.67,46.68,73.76,1
14/12/2023,MOUZ,4,506,56.2,1.07,0.67,0.65,49.1,71.96,Heroic,15,190,56.5,1.1,0.69,0.65,51.2,73.28,1
13/12/2023,MOUZ,4,506,56.2,1.07,0.67,0.65,49.1,71.96,G2,5,445,60.0,1.06,0.66,0.65,50.42,72.06,0
01/12/2023,MOUZ,4,506,56.2,1.07,0.67,0.65,49.1,71.96,FURIA,14,190,42.9,1.01,0.64,0.67,49.46,70.22,0
30/11/2023,MOUZ,4,506,56.2,1.07,0.67,0.65,49.1,71.96,Complexity,9,267,41.2,1.07,0.67,0.65,49.86,72.82,1
30/11/2023,MOUZ,4,506,56.2,1.07,0.67,0.65,49.1,71.96,Apeks,12,224,59.1,1.03,0.65,0.66,52.46,70.04,0
15/02/2024,G2,5,445,60.0,1.06,0.66,0.65,50.42,72.06,FaZe,1,975,72.7,1.08,0.68,0.65,52.64,73.0,1
14/02/2024,G2,5,445,60.0,1.06,0.66,0.65,50.42,72.06,Eternal_Fire,16,189,65.0,1.09,0.68,0.64,50.0,72.58,1
09/02/2024,G2,5,445,60.0,1.06,0.66,0.65,50.42,72.06,FaZe,1,975,72.7,1.08,0.68,0.65,52.64,73.0,0
06/02/2024,G2,5,445,60.0,1.06,0.66,0.65,50.42,72.06,Heroic,15,190,56.5,1.1,0.69,0.65,51.2,73.28,1
06/02/2024,G2,5,445,60.0,1.06,0.66,0.65,50.42,72.06,Monte,10,263,73.3,1.11,0.7,0.65,51.68,73.08,1
05/02/2024,G2,5,445,60.0,1.06,0.66,0.65,50.42,72.06,ENCE,13,220,46.2,1.04,0.66,0.67,48.64,71.58,0
03/02/2024,G2,5,445,60.0,1.06,0.66,0.65,50.42,72.06,Heroic,15,190,56.5,1.1,0.69,0.65,51.2,73.28,1
28/01/2024,G2,5,445,60.0,1.06,0.66,0.65,50.42,72.06,Liquid,24,72,77.8,1.16,0.71,0.61,49.72,76.5,1
27/01/2024,G2,5,445,60.0,1.06,0.66,0.65,50.42,72.06,Natus_Vincere,6,431,66.7,1.09,0.67,0.63,48.58,73.52,0
26/01/2024,G2,5,445,60.0,1.06,0.66,0.65,50.42,72.06,Ninjas_in_Pyjamas,27,52,23.1,0.98,0.63,0.7,49.66,69.0,1
23/01/2024,G2,5,445,60.0,1.06,0.66,0.65,50.42,72.06,Natus_Vincere,6,431,66.7,1.09,0.67,0.63,48.58,73.52,0
22/01/2024,G2,5,445,60.0,1.06,0.66,0.65,50.42,72.06,Ninjas_in_Pyjamas,27,52,23.1,0.98,0.63,0.7,49.66,69.0,1
15/12/2023,G2,5,445,60.0,1.06,0.66,0.65,50.42,72.06,Natus_Vincere,6,431,66.7,1.09,0.67,0.63,48.58,73.52,0
14/12/2023,G2,5,445,60.0,1.06,0.66,0.65,50.42,72.06,FaZe,1,975,72.7,1.08,0.68,0.65,52.64,73.0,0
13/12/2023,G2,5,445,60.0,1.06,0.66,0.65,50.42,72.06,MOUZ,4,506,56.2,1.07,0.67,0.65,49.1,71.96,1
16/02/2024,Natus_Vincere,6,431,66.7,1.09,0.67,0.63,48.58,73.52,BetBoom,21,108,42.9,1.0,0.65,0.71,55.76,70.8,1
15/02/2024,Natus_Vincere,6,431,66.7,1.09,0.67,0.63,48.58,73.52,Virtus.pro,8,352,76.0,1.13,0.67,0.6,48.46,75.1,0
06/02/2024,Natus_Vincere,6,431,66.7,1.09,0.67,0.63,48.58,73.52,Falcons,7,399,46.2,1.03,0.66,0.67,50.9,70.88,0
05/02/2024,Natus_Vincere,6,431,66.7,1.09,0.67,0.63,48.58,73.52,Eternal_Fire,16,189,65.0,1.09,0.68,0.64,50.0,72.58,1
04/02/2024,Natus_Vincere,6,431,66.7,1.09,0.67,0.63,48.58,73.52,Apeks,12,224,59.1,1.03,0.65,0.66,52.46,70.04,1
03/02/2024,Natus_Vincere,6,431,66.7,1.09,0.67,0.63,48.58,73.52,Spirit,3,634,71.4,1.19,0.72,0.6,46.4,76.28,0
27/01/2024,Natus_Vincere,6,431,66.7,1.09,0.67,0.63,48.58,73.52,G2,5,445,60.0,1.06,0.66,0.65,50.42,72.06,1
23/01/2024,Natus_Vincere,6,431,66.7,1.09,0.67,0.63,48.58,73.52,G2,5,445,60.0,1.06,0.66,0.65,50.42,72.06,1
22/01/2024,Natus_Vincere,6,431,66.7,1.09,0.67,0.63,48.58,73.52,Complexity,9,267,41.2,1.07,0.67,0.65,49.86,72.82,1
19/01/2024,Natus_Vincere,6,431,66.7,1.09,0.67,0.63,48.58,73.52,Virtus.pro,8,352,76.0,1.13,0.67,0.6,48.46,75.1,1
18/01/2024,Natus_Vincere,6,431,66.7,1.09,0.67,0.63,48.58,73.52,9_Pandas,26,55,53.8,1.06,0.66,0.65,50.38,72.44,1
16/12/2023,Natus_Vincere,6,431,66.7,1.09,0.67,0.63,48.58,73.52,Vitality,2,759,80.0,1.14,0.69,0.61,51.42,75.28,0
15/12/2023,Natus_Vincere,6,431,66.7,1.09,0.67,0.63,48.58,73.52,G2,5,445,60.0,1.06,0.66,0.65,50.42,72.06,1
15/02/2024,Falcons,7,399,46.2,1.03,0.66,0.67,50.9,70.88,Eternal_Fire,16,189,65.0,1.09,0.68,0.64,50.0,72.58,0
14/02/2024,Falcons,7,399,46.2,1.03,0.66,0.67,50.9,70.88,FaZe,1,975,72.7,1.08,0.68,0.65,52.64,73.0,0
14/02/2024,Falcons,7,399,46.2,1.03,0.66,0.67,50.9,70.88,3DMAX,30,38,42.9,1.07,0.67,0.65,51.08,73.12,1
10/02/2024,Falcons,7,399,46.2,1.03,0.66,0.67,50.9,70.88,Spirit,3,634,71.4,1.19,0.72,0.6,46.4,76.28,0
09/02/2024,Falcons,7,399,46.2,1.03,0.66,0.67,50.9,70.88,ENCE,13,220,46.2,1.04,0.66,0.67,48.64,71.58,1
06/02/2024,Falcons,7,399,46.2,1.03,0.66,0.67,50.9,70.88,Natus_Vincere,6,431,66.7,1.09,0.67,0.63,48.58,73.52,1
05/02/2024,Falcons,7,399,46.2,1.03,0.66,0.67,50.9,70.88,Complexity,9,267,41.2,1.07,0.67,0.65,49.86,72.82,1
04/02/2024,Falcons,7,399,46.2,1.03,0.66,0.67,50.9,70.88,Rebels,25,57,30.8,0.98,0.64,0.7,49.38,68.6,1
03/02/2024,Falcons,7,399,46.2,1.03,0.66,0.67,50.9,70.88,Eternal_Fire,16,189,65.0,1.09,0.68,0.64,50.0,72.58,0
26/01/2024,Falcons,7,399,46.2,1.03,0.66,0.67,50.9,70.88,Vitality,2,759,80.0,1.14,0.69,0.61,51.42,75.28,0
22/01/2024,Falcons,7,399,46.2,1.03,0.66,0.67,50.9,70.88,Astralis,18,156,50.0,1.07,0.66,0.64,48.9,72.12,0
27/10/2023,Falcons,7,399,46.2,1.03,0.66,0.67,50.9,70.88,Monte,10,263,73.3,1.11,0.7,0.65,51.68,73.08,0
25/10/2023,Falcons,7,399,46.2,1.03,0.66,0.67,50.9,70.88,BetBoom,21,108,42.9,1.0,0.65,0.71,55.76,70.8,1
15/02/2024,Virtus.pro,8,352,76.0,1.13,0.67,0.6,48.46,75.1,Natus_Vincere,6,431,66.7,1.09,0.67,0.63,48.58,73.52,1
14/02/2024,Virtus.pro,8,352,76.0,1.13,0.67,0.6,48.46,75.1,SAW,29,41,72.0,1.13,0.68,0.62,50.16,73.46,1
02/02/2024,Virtus.pro,8,352,76.0,1.13,0.67,0.6,48.46,75.1,Cloud9,11,263,47.6,1.07,0.67,0.67,46.68,73.76,0
01/02/2024,Virtus.pro,8,352,76.0,1.13,0.67,0.6,48.46,75.1,GamerLegion,17,176,31.6,0.96,0.61,0.68,49.28,68.8,0
27/01/2024,Virtus.pro,8,352,76.0,1.13,0.67,0.6,48.46,75.1,BIG,19,116,54.5,1.11,0.68,0.63,49.44,74.94,1
25/01/2024,Virtus.pro,8,352,76.0,1.13,0.67,0.6,48.46,75.1,Cloud9,11,263,47.6,1.07,0.67,0.67,46.68,73.76,1
24/01/2024,Virtus.pro,8,352,76.0,1.13,0.67,0.6,48.46,75.1,BIG,19,116,54.5,1.11,0.68,0.63,49.44,74.94,1
19/01/2024,Virtus.pro,8,352,76.0,1.13,0.67,0.6,48.46,75.1,Natus_Vincere,6,431,66.7,1.09,0.67,0.63,48.58,73.52,0
18/01/2024,Virtus.pro,8,352,76.0,1.13,0.67,0.6,48.46,75.1,SAW,29,41,72.0,1.13,0.68,0.62,50.16,73.46,1
17/12/2023,Virtus.pro,8,352,76.0,1.13,0.67,0.6,48.46,75.1,Apeks,12,224,59.1,1.03,0.65,0.66,52.46,70.04,1
17/12/2023,Virtus.pro,8,352,76.0,1.13,0.67,0.6,48.46,75.1,TheMongolz,23,98,73.9,1.09,0.69,0.66,53.5,71.32,1
15/12/2023,Virtus.pro,8,352,76.0,1.13,0.67,0.6,48.46,75.1,Monte,10,263,73.3,1.11,0.7,0.65,51.68,73.08,1
05/02/2024,Complexity,9,267,41.2,1.07,0.67,0.65,49.86,72.82,Falcons,7,399,46.2,1.03,0.66,0.67,50.9,70.88,0
04/02/2024,Complexity,9,267,41.2,1.07,0.67,0.65,49.86,72.82,Spirit,3,634,71.4,1.19,0.72,0.6,46.4,76.28,0
03/02/2024,Complexity,9,267,41.2,1.07,0.67,0.65,49.86,72.82,Apeks,12,224,59.1,1.03,0.65,0.66,52.46,70.04,1
23/01/2024,Complexity,9,267,41.2,1.07,0.67,0.65,49.86,72.82,Ninjas_in_Pyjamas,27,52,23.1,0.98,0.63,0.7,49.66,69.0,0
22/01/2024,Complexity,9,267,41.2,1.07,0.67,0.65,49.86,72.82,Natus_Vincere,6,431,66.7,1.09,0.67,0.63,48.58,73.52,0
16/12/2023,Complexity,9,267,41.2,1.07,0.67,0.65,49.86,72.82,TheMongolz,23,98,73.9,1.09,0.69,0.66,53.5,71.32,0
16/12/2023,Complexity,9,267,41.2,1.07,0.67,0.65,49.86,72.82,GamerLegion,17,176,31.6,0.96,0.61,0.68,49.28,68.8,1
15/12/2023,Complexity,9,267,41.2,1.07,0.67,0.65,49.86,72.82,TheMongolz,23,98,73.9,1.09,0.69,0.66,53.5,71.32,0
30/11/2023,Complexity,9,267,41.2,1.07,0.67,0.65,49.86,72.82,MOUZ,4,506,56.2,1.07,0.67,0.65,49.1,71.96,0
30/11/2023,Complexity,9,267,41.2,1.07,0.67,0.65,49.86,72.82,FURIA,14,190,42.9,1.01,0.64,0.67,49.46,70.22,0
25/11/2023,Complexity,9,267,41.2,1.07,0.67,0.65,49.86,72.82,FaZe,1,975,72.7,1.08,0.68,0.65,52.64,73.0,0
24/11/2023,Complexity,9,267,41.2,1.07,0.67,0.65,49.86,72.82,Natus_Vincere,6,431,66.7,1.09,0.67,0.63,48.58,73.52,1
23/11/2023,Complexity,9,267,41.2,1.07,0.67,0.65,49.86,72.82,Vitality,2,759,80.0,1.14,0.69,0.61,51.42,75.28,0
06/02/2024,Monte,10,263,73.3,1.11,0.7,0.65,51.68,73.08,G2,5,445,60.0,1.06,0.66,0.65,50.42,72.06,0
05/02/2024,Monte,10,263,73.3,1.11,0.7,0.65,51.68,73.08,Cloud9,11,263,47.6,1.07,0.67,0.67,46.68,73.76,1
04/02/2024,Monte,10,263,73.3,1.11,0.7,0.65,51.68,73.08,GamerLegion,17,176,31.6,0.96,0.61,0.68,49.28,68.8,0
17/12/2023,Monte,10,263,73.3,1.11,0.7,0.65,51.68,73.08,Apeks,12,224,59.1,1.03,0.65,0.66,52.46,70.04,0
15/12/2023,Monte,10,263,73.3,1.11,0.7,0.65,51.68,73.08,Virtus.pro,8,352,76.0,1.13,0.67,0.6,48.46,75.1,0
26/11/2023,Monte,10,263,73.3,1.11,0.7,0.65,51.68,73.08,Eternal_Fire,16,189,65.0,1.09,0.68,0.64,50.0,72.58,1
26/11/2023,Monte,10,263,73.3,1.11,0.7,0.65,51.68,73.08,Virtus.pro,8,352,76.0,1.13,0.67,0.6,48.46,75.1,1
05/02/2024,Cloud9,11,263,47.6,1.07,0.67,0.67,46.68,73.76,Monte,10,263,73.3,1.11,0.7,0.65,51.68,73.08,0
04/02/2024,Cloud9,11,263,47.6,1.07,0.67,0.67,46.68,73.76,MOUZ,4,506,56.2,1.07,0.67,0.65,49.1,71.96,0
02/02/2024,Cloud9,11,263,47.6,1.07,0.67,0.67,46.68,73.76,Virtus.pro,8,352,76.0,1.13,0.67,0.6,48.46,75.1,1
01/02/2024,Cloud9,11,263,47.6,1.07,0.67,0.67,46.68,73.76,BetBoom,21,108,42.9,1.0,0.65,0.71,55.76,70.8,1
31/01/2024,Cloud9,11,263,47.6,1.07,0.67,0.67,46.68,73.76,Rebels,25,57,30.8,0.98,0.64,0.7,49.38,68.6,0
26/01/2024,Cloud9,11,263,47.6,1.07,0.67,0.67,46.68,73.76,BIG,19,116,54.5,1.11,0.68,0.63,49.44,74.94,0
25/01/2024,Cloud9,11,263,47.6,1.07,0.67,0.67,46.68,73.76,Virtus.pro,8,352,76.0,1.13,0.67,0.6,48.46,75.1,0
24/01/2024,Cloud9,11,263,47.6,1.07,0.67,0.67,46.68,73.76,Heroic,15,190,56.5,1.1,0.69,0.65,51.2,73.28,1
19/01/2024,Cloud9,11,263,47.6,1.07,0.67,0.67,46.68,73.76,BetBoom,21,108,42.9,1.0,0.65,0.71,55.76,70.8,1
18/01/2024,Cloud9,11,263,47.6,1.07,0.67,0.67,46.68,73.76,3DMAX,30,38,42.9,1.07,0.67,0.65,51.08,73.12,1
15/12/2023,Cloud9,11,263,47.6,1.07,0.67,0.67,46.68,73.76,MOUZ,4,506,56.2,1.07,0.67,0.65,49.1,71.96,0
14/12/2023,Cloud9,11,263,47.6,1.07,0.67,0.67,46.68,73.76,Vitality,2,759,80.0,1.14,0.69,0.61,51.42,75.28,0
13/12/2023,Cloud9,11,263,47.6,1.07,0.67,0.67,46.68,73.76,ENCE,13,220,46.2,1.04,0.66,0.67,48.64,71.58,1
08/12/2023,Cloud9,11,263,47.6,1.07,0.67,0.67,46.68,73.76,BetBoom,21,108,42.9,1.0,0.65,0.71,55.76,70.8,0
07/12/2023,Cloud9,11,263,47.6,1.07,0.67,0.67,46.68,73.76,MIBR,20,109,65.0,1.07,0.66,0.64,50.02,72.48,0
11/02/2024,Apeks,12,224,59.1,1.03,0.65,0.66,52.46,70.04,3DMAX,30,38,42.9,1.07,0.67,0.65,51.08,73.12,1
04/02/2024,Apeks,12,224,59.1,1.03,0.65,0.66,52.46,70.04,Natus_Vincere,6,431,66.7,1.09,0.67,0.63,48.58,73.52,0
03/02/2024,Apeks,12,224,59.1,1.03,0.65,0.66,52.46,70.04,Complexity,9,267,41.2,1.07,0.67,0.65,49.86,72.82,0
02/02/2024,Apeks,12,224,59.1,1.03,0.65,0.66,52.46,70.04,BIG,19,116,54.5,1.11,0.68,0.63,49.44,74.94,1
01/02/2024,Apeks,12,224,59.1,1.03,0.65,0.66,52.46,70.04,FURIA,14,190,42.9,1.01,0.64,0.67,49.46,70.22,1
31/01/2024,Apeks,12,224,59.1,1.03,0.65,0.66,52.46,70.04,Spirit,3,634,71.4,1.19,0.72,0.6,46.4,76.28,0
